id,A,prod,len
0,S',YOGOD,1
1,YOGOD,yogod ( ) { EXPR solado ; },8
2,EXPR,DV,1
3,EXPR,DE,1
4,EXPR,OP,1
5,EXPR,INOUT,1
6,DV,TIPO id EV EXPR,4
7,TIPO,yoint,1
8,TIPO,yofloat,1
9,TIPO,yobool,1
10,TIPO,yochar,1
11,EV,OA VALOR ;,3
12,EV,;,1
13,VALOR,int,1
14,VALOR,float,1
15,VALOR,bool,1
16,VALOR,char,1
17,INOUT,INPUT,1
18,INOUT,OUTPUT,1
19,INPUT,scanfi ( id ) ;,5
20,OUTPUT,printfi ( OUTPUTVAR ) ;,5
21,OUTPUT,printfi ( OUTPUTTEXT ) ;,5
22,OUTPUTVAR,id,1
23,OUTPUTTEXT,string,1
24,OUTPUTTEXT,char,1
25,DE,eoq ( STMT ) F CASOIF EXPR,7
26,DE,holy ( STMT ) F EXPR,6
27,DE,fon ( STMT ; VALOR OPLOGICO VALOR ; STMT ) F EXPR,12
28,DE,circo ( id ) CASO EXPR,6
29,CASOIF,trab F EXPR,3
30,CASOIF,trab eoq ( STMT ) F CASOELSE,7
31,CASOIF,trab eoq ( STMT ) F EXPR,7
32,CASOELSE,trab eoq ( STMT ) F CASOELSE,7
33,CASOELSE,trab eoq ( STMT ) F EXPR,7
34,CASOELSE,trab F EXPR,3
35,CASO,soled id : EXPR break ; CASO,7
36,CASO,soled id : EXPR break ;,6
37,CASO,lag : EXPR break ;,5
38,F,{ EXPR },3
39,STMT,VALOR,1
40,STMT,OP,1
41,OP,OPARITMETICO,1
42,OP,OPLOGICO,1
43,OP,OPRELACIONAL,1
44,OPARITMETICO,TERMOARITMETICO,1
45,OPARITMETICO,TERMOARITMETICO OPARITMETICO1 TERMOARITMETICO,3
46,OPARITMETICO,UNARIO,1
47,TERMOARITMETICO,FATORARITMETICO,1
48,TERMOARITMETICO,FATORARITMETICO OPARITMETICO2 FATORARITMETICO,3
49,FATORARITMETICO,id,1
50,FATORARITMETICO,( OPARITMETICO ),3
51,UNARIO,id OPARITMETICO3,2
52,OPLOGICO,TERMOLOGICO,1
53,OPLOGICO,TERMOLOGICO OPLOGICO1 TERMOLOGICO,3
54,TERMOLOGICO,FATORLOGICO,1
55,TERMOLOGICO,FATORLOGICO OPLOGICO2 FATORLOGICO,3
56,FATORLOGICO,id,1
57,FATORLOGICO,! id,2
58,FATORLOGICO,( OPLOGICO ),3
59,FATORLOGICO,! ( OPLOGICO ),4
60,OPRELACIONAL,==,1
61,OPRELACIONAL,!=,1
62,OPRELACIONAL,>,1
63,OPRELACIONAL,>=,1
64,OPRELACIONAL,<,1
65,OPRELACIONAL,<=,1
66,OPARITMETICO1,+,1
67,OPARITMETICO1,-,1
68,OPARITMETICO2,/,1
69,OPARITMETICO2,*,1
70,OPARITMETICO2,%,1
71,OPARITMETICO3,++,1
72,OPARITMETICO3,--,1
73,OPLOGICO1,&&,1
74,OPLOGICO2,||,1
75,OPLOGICO2,TRUE,1
76,OPLOGICO2,FALSE,1
77,OA,=,1
