id,A,prod,len
0,<S'>,<YOGOD>,1
1,<YOGOD> ,yogod ( ) { <EXPR> solado ; },8
2,<EXPR>,<DV>,1
3,<EXPR>,<DE>,1
4,<EXPR>,<CMT>,1
5,<EXPR>,<OP>,1
6,<EXPR>,<INTOUT>,1
7,<CMT>,? ANU ? <EXPR>,4
8,<DV>,<TIPO> <NOMEVAR> <EV> <EXPR>,4
9,<TIPO>,yoint,1
10,<TIPO>,yofloat,1
11,<TIPO>,yobool,1
12,<TIPO>, yochar,1
13,<NOMEVAR>,id,1
14,<EV>,", <NOMEVAR> <EV>",3
15,<EV>,<OA> <VALOR> ;,3
16,<EV>,;,1
17,<VALOR>,int,1
18,<VALOR>,float,1
19,<VALOR>,bool,1
20,<VALOR>,char,1
21,<INTOUT>,<INPUT>,1
22,<INTOUT>,<OUTPUT>,1
23,<INPUT>,scanfi ( <NOMEVAR> ) ;,5
24,<OUTPUT>,printfi ( <OUTPUTVAR> ) ;,5
25,<OUTPUT>,printfi ( OUTPUTTEXT ) ;,5
26,<OUTPUTVAR>,<NOMEVAR>,1
27,<OUTPUTVAR>,<NOMEVAR> + OUTPUTVAR,3
28,<OUTPUTTEXT>, “ ANU “ ,3
29,<DE>,eoq ( <STMT> ) <F> <CASOIF> <EXPR>,7
30,<DE>,holy ( <STMT> ) <F> <EXPR>,6
31,<DE>,fon ( <STMT> ; <VALOR> <OPLOGICO> <VALOR> ; <STMT> ) <F> <EXPR>,12
32,<DE>,circo ( <NOMEVAR> ) CASO <EXPR>,6
33,<CASOIF>,trab <F> <EXPR>,3
34,<CASOIF>,trab eoq ( <STMT> ) <F> <CASOELSE>,7
35,<CASOIF>,trab eoq ( <STMT> ) <F> <EXPR>,7
36,<CASOELSE>,trab eoq ( <STMT> ) <F> <CASOELSE>,7
37,<CASOELSE>,trab eoq ( <STMT> ) <F> <EXPR>,7
38,<CASOELSE>,trab <F> <EXPR>,3
39,<CASO>,soled id : <EXPR> break ; <CASO>,7
40,<CASO>,soled id : <EXPR> break ;,6
41,<CASO>,lag : <EXPR> break ;,5
42,<F>,{ <EXPR> },3
43,<STMT>,<VALOR>,1
44,<STMT>,<OP>,1
45,<OP>,<OPARITMETICO>,1
46,<OP>,<OPLOGICO>,1
47,<OP>,<OPRELACIONAL>,1
48,<OPARITMETICO>,<TERMOARITMETICO>,1
49,<OPARITMETICO>,<TERMOARITMETICO> <OPARITMETICO1> <TERMOARITMETICO>,3
50,<OPARITMETICO>,<UNARIO>,1
51,<TERMOARITMETICO>,<FATORARITMETICO>,1
52,<TERMOARITMETICO>,<FATORARITMETICO> <OPARITMETICO2> <FATORARITMETICO>,3
53,<FATORARITMETICO>,id,1
54,<FATORARITMETICO>,( <OPARITMETICO> ),3
55,<UNARIO>,id <OPARITMETICO3>,2
56,<OPLOGICO>,<TERMOLOGICO>,1
57,<OPLOGICO>,<TERMOLOGICO> <OPLOGICO1> <TERMOLOGICO>,3
58,<TERMOLOGICO>,<FATORLOGICO>,1
59,<TERMOLOGICO>,<FATORLOGICO> <OPLOGICO2> <FATORLOGICO>,3
60,<FATORLOGICO>,id,1
61,<FATORLOGICO>,! id,2
62,<FATORLOGICO>,( <OPLOGICO> ),3
63,<FATORLOGICO>,! ( <OPLOGICO> ),4
64,<OPRELACIONAL>,Err:520,1
65,<OPRELACIONAL>,!=,1
66,<OPRELACIONAL>,>,1
67,<OPRELACIONAL>,>=,1
68,<OPRELACIONAL>,<,1
69,<OPRELACIONAL>,<=,1
70,<OPARITMETICO1>,+,1
71,<OPARITMETICO1>,-,1
72,<OPARITMETICO2>,/,1
73,<OPARITMETICO2>,*,1
74,<OPARITMETICO2>,%,1
75,<OPARITMETICO3>,++,1
76,<OPARITMETICO3>,--,1
77,<OPLOGICO1>,&&,1
78,<OPLOGICO2>,||,1
79,<OPLOGICO2>,true,1
80,<OPLOGICO2>,false,1
81,<OA>,=,1
82,ANU,alfabeto ANU,2
83,ANU,número ANU,2
84,ANU,underscore ANU,2
