Estados,yogod,(,),{,solado,;,},?,yoint,yofloat,yobool,yochar,alfabeto,",",,int,float,bool,char,scanfi,printfi,+,“,eoq,holy,fon,circo,trab,soled,:,break,lag,id,!,==,!=,>,>=,<,<=,-,/,*,%,++,--,&&,||,TRUE,FALSE,=,número,underscore,$,S',YOGOD,EXPR,CMT,DV,TIPO,NOMEVAR,EV,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVAR,OUTPUTTEXT,DE,CASOIF,CASOELSE,CASO,F,STMT,OP,OPARITMETICO,TERMOARITMETICO,FATORARITMETICO,UNARIO,OPLOGICO,TERMOLOGICO,FATORLOGICO,OPRELACIONAL,OPARITMETICO1,OPARITMETICO2,OPARITMETICO3,OPLOGICO1,OPLOGICO2,OA,ANU
0,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,6,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
6,,,,,E43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,R2,,,R2,,R2,R2,R2,R2,R2,R2,,,,,,,,R2,R2,,,R2,R2,R2,R2,,,,R2,,R2,R2,R2,R2,R2,R2,R2,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,R3,,,R3,,R3,R3,R3,R3,R3,R3,,,,,,,,R3,R3,,,R3,R3,R3,R3,,,,R3,,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,R4,,,R4,,R4,R4,R4,R4,R4,R4,,,,,,,,R4,R4,,,R4,R4,R4,R4,,,,R4,,R4,R4,R4,R4,R4,R4,R4,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,R5,,,R5,,R5,R5,R5,R5,R5,R5,,,,,,,,R5,R5,,,R5,R5,R5,R5,,,,R5,,R5,R5,R5,R5,R5,R5,R5,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,R6,,,R6,,R6,R6,R6,R6,R6,R6,,,,,,,,R6,R6,,,R6,R6,R6,R6,,,,R6,,R6,R6,R6,R6,R6,R6,R6,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,E45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,E46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,E47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,E48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,E49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
18,,R45,R45,,R45,R45,R45,R45,R45,R45,R45,R45,,,,,,,,R45,R45,,,R45,R45,R45,R45,,,,R45,,R45,R45,R45,R45,R45,R45,R45,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,R46,R46,,R46,R46,R46,R46,R46,R46,R46,R46,,,,,,,,R46,R46,,,R46,R46,R46,R46,,,,R46,,R46,R46,R46,R46,R46,R46,R46,R46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,R47,R47,,R47,R47,R47,R47,R47,R47,R47,R47,,,,,,,,R47,R47,,,R47,R47,R47,R47,,,,R47,,R47,R47,R47,R47,R47,R47,R47,R47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,R21,,,R21,,R21,R21,R21,R21,R21,R21,,,,,,,,R21,R21,,,R21,R21,R21,R21,,,,R21,,R21,R21,R21,R21,R21,R21,R21,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,R22,,,R22,,R22,R22,R22,R22,R22,R22,,,,,,,,R22,R22,,,R22,R22,R22,R22,,,,R22,,R22,R22,R22,R22,R22,R22,R22,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,R48,R48,,R48,R48,R48,R48,R48,R48,R48,R48,,,,,,,,R48,R48,E55,,R48,R48,R48,R48,,,,R48,,R48,R48,R48,R48,R48,R48,R48,R48,E56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,
28,,R50,R50,,R50,R50,R50,R50,R50,R50,R50,R50,,,,,,,,R50,R50,,,R50,R50,R50,R50,,,,R50,,R50,R50,R50,R50,R50,R50,R50,R50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,R56,R56,,R56,R56,R56,R56,R56,R56,R56,R56,,,,R56,R56,R56,R56,R56,R56,,,R56,R56,R56,R56,,,,R56,,R56,R56,R56,R56,R56,R56,R56,R56,,,,,,,E58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,
30,,R64,R64,,R64,R64,R64,R64,R64,R64,R64,R64,,,,,,,,R64,R64,,,R64,R64,R64,R64,,,,R64,,R64,R64,R64,R64,R64,R64,R64,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,R65,R65,,R65,R65,R65,R65,R65,R65,R65,R65,,,,,,,,R65,R65,,,R65,R65,R65,R65,,,,R65,,R65,R65,R65,R65,R65,R65,R65,R65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,R66,R66,,R66,R66,R66,R66,R66,R66,R66,R66,,,,,,,,R66,R66,,,R66,R66,R66,R66,,,,R66,,R66,R66,R66,R66,R66,R66,R66,R66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,R67,R67,,R67,R67,R67,R67,R67,R67,R67,R67,,,,,,,,R67,R67,,,R67,R67,R67,R67,,,,R67,,R67,R67,R67,R67,R67,R67,R67,R67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,R68,R68,,R68,R68,R68,R68,R68,R68,R68,R68,,,,,,,,R68,R68,,,R68,R68,R68,R68,,,,R68,,R68,R68,R68,R68,R68,R68,R68,R68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,R69,R69,,R69,R69,R69,R69,R69,R69,R69,R69,,,,,,,,R69,R69,,,R69,R69,R69,R69,,,,R69,,R69,R69,R69,R69,R69,R69,R69,R69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,E59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,E60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,,,,,,,,R51,R51,R51,,R51,R51,R51,R51,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,E62,E63,E64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,
39,,R53,R53,,R53,R53,R53,R53,R53,R53,R53,R53,,,,R60,R60,R60,R60,R53,R53,R53,,R53,R53,R53,R53,,,,R53,,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,E66,E67,R60,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,
40,,R58,R58,,R58,R58,R58,R58,R58,R58,R58,R58,,,,R58,R58,R58,R58,R58,R58,,,R58,R58,R58,R58,,,,R58,,R58,R58,R58,R58,R58,R58,R58,R58,,,,,,,R58,E69,E70,E71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,
41,,E41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E39,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,27,38,28,73,29,40,,,,,,,,
42,,E75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,E76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,E80,,,,,,,,E78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E81,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,79,
45,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
46,,E41,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,83,85,18,27,38,28,19,29,40,20,,,,,,,
47,,E41,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,90,85,18,27,38,28,19,29,40,20,,,,,,,
48,,E41,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,91,85,18,27,38,28,19,29,40,20,,,,,,,
49,,,,,,,,,,,,,E45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,E93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
52,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
53,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
54,,E99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,38,,,,,,,,,,,,
55,,R70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,R71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E101,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,40,,,,,,,,
58,,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,E45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,E45,,,,,,,,,,E107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,104,105,,,,,,,,,,,,,,,,,,,,,,
61,,E99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,
62,,R72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,R73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,R74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,R55,R55,,R55,R55,R55,R55,R55,R55,R55,R55,,,,,,,,R55,R55,,,R55,R55,R55,R55,,,,R55,,R55,R55,R55,R55,R55,R55,R55,R55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,R75,R75,,R75,R75,R75,R75,R75,R75,R75,R75,,,,,,,,R75,R75,,,R75,R75,R75,R75,,,,R75,,R75,R75,R75,R75,R75,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,R76,R76,,R76,R76,R76,R76,R76,R76,R76,R76,,,,,,,,R76,R76,,,R76,R76,R76,R76,,,,R76,,R76,R76,R76,R76,R76,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E101,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,
69,,R78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R78,R78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,R79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R79,R79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R80,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,E110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,E111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,R61,R61,,R61,R61,R61,R61,R61,R61,R61,R61,,,,R61,R61,R61,R61,R61,R61,,,R61,R61,R61,R61,,,,R61,,R61,R61,R61,R61,R61,R61,R61,R61,,,,,,,R61,R61,R61,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E101,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,29,40,,,,,,,,
